Policy,Sample,Gender,RatingArea,NCD,ProtectedNCD,DrivingRestriction,VehicleAge,LossYear,Exposures,DevelopedLoss,PurePrem
2,TRAIN,Male,3A,0,N,Any,7,2014,0.01,15081.14419,1508114.419
3,TRAIN,Male,3A,0,N,Any,7,2014,0.01,15081.14419,1508114.419
4,TRAIN,Male,3A,0,N,Any,7,2014,0.01,15081.14419,1508114.419
5,TRAIN,Male,3A,0,N,Any,7,2014,0.01,15081.14419,1508114.419
6,TRAIN,Male,2A,4+,Y,Named,8,2014,0.002,2867.979791,1433989.896
7,TRAIN,Male,2A,4+,Y,Named,8,2014,0.002,2867.979791,1433989.896
8,TRAIN,Male,2A,4+,Y,Named,8,2014,0.002,2867.979791,1433989.896
9,TRAIN,Male,2A,4+,Y,Named,8,2014,0.002,2867.979791,1433989.896
10,TRAIN,Male,2A,4+,Y,Named,8,2014,0.002,2867.979791,1433989.896
12,TRAIN,Male,4A,4+,N,Named,10,2014,0.01,13007.7807,1300778.07
13,TRAIN,Male,4A,4+,N,Named,10,2014,0.01,13007.7807,1300778.07
14,TRAIN,Male,4A,4+,N,Named,10,2014,0.01,13007.7807,1300778.07
16,TRAIN,Male,5A,4+,N,Named,5,2014,0.02,22040.61339,1102030.67
18,TRAIN,Male,5A,4+,N,Named,5,2014,0.02,22040.61339,1102030.67
20,TRAIN,Male,5A,4+,N,Named,5,2014,0.02,22040.61339,1102030.67
21,TRAIN,Female,2B,4+,N,Any,1,2014,0.06,55821.7511,930362.5183
22,TRAIN,Female,2B,4+,N,Any,1,2014,0.06,55821.7511,930362.5183
23,TRAIN,Female,2B,4+,N,Any,1,2014,0.06,55821.7511,930362.5183
24,TRAIN,Female,2B,4+,N,Any,1,2014,0.06,55821.7511,930362.5183
25,TRAIN,Female,2B,4+,N,Any,1,2014,0.06,55821.7511,930362.5183
26,TRAIN,Male,3B,0,N,Named,0,2013,0.04,35271.94704,881798.676
27,TRAIN,Male,3B,0,N,Named,0,2013,0.04,35271.94704,881798.676
29,TRAIN,Male,3B,0,N,Named,0,2013,0.04,35271.94704,881798.676
31,TRAIN,Male,2B,4+,N,Named,0,2014,0.02,16921.54157,846077.0785
32,TRAIN,Male,2B,4+,N,Named,0,2014,0.02,16921.54157,846077.0785
33,TRAIN,Male,2B,4+,N,Named,0,2014,0.02,16921.54157,846077.0785
34,TRAIN,Male,2B,4+,N,Named,0,2014,0.02,16921.54157,846077.0785
35,TRAIN,Male,2B,4+,N,Named,0,2014,0.02,16921.54157,846077.0785
36,TRAIN,Female,2A,1,N,Named,3,2014,0.02,16609.18964,830459.482
37,TRAIN,Female,2A,1,N,Named,3,2014,0.02,16609.18964,830459.482
38,TRAIN,Female,2A,1,N,Named,3,2014,0.02,16609.18964,830459.482
39,TRAIN,Female,2A,1,N,Named,3,2014,0.02,16609.18964,830459.482
40,TRAIN,Female,2A,1,N,Named,3,2014,0.02,16609.18964,830459.482
41,TRAIN,Female,5B,1,N,Named,4,2014,0.03,22805.89019,760196.3397
42,TRAIN,Female,5B,1,N,Named,4,2014,0.03,22805.89019,760196.3397
44,TRAIN,Female,5B,1,N,Named,4,2014,0.03,22805.89019,760196.3397
45,TRAIN,Female,5B,1,N,Named,4,2014,0.03,22805.89019,760196.3397
46,TRAIN,Male,5A,3,N,Named,5,2013,0.01,7427.369786,742736.9786
47,TRAIN,Male,5A,3,N,Named,5,2013,0.01,7427.369786,742736.9786
48,TRAIN,Male,5A,3,N,Named,5,2013,0.01,7427.369786,742736.9786
49,TRAIN,Male,5A,3,N,Named,5,2013,0.01,7427.369786,742736.9786
50,TRAIN,Male,5A,3,N,Named,5,2013,0.01,7427.369786,742736.9786
51,TRAIN,Female,2A,4+,Y,Any,13,2013,0.01,7312.357594,731235.7594
52,TRAIN,Female,2A,4+,Y,Any,13,2013,0.01,7312.357594,731235.7594
53,TRAIN,Female,2A,4+,Y,Any,13,2013,0.01,7312.357594,731235.7594
58,TRAIN,Male,3B,0,N,Named,1,2013,0.02,14012.39582,700619.791
59,TRAIN,Male,3B,0,N,Named,1,2013,0.02,14012.39582,700619.791
60,TRAIN,Male,3B,0,N,Named,1,2013,0.02,14012.39582,700619.791
61,TRAIN,Male,5A,4+,Y,Any,7,2013,0.02,13402.12435,670106.2175
62,TRAIN,Male,5A,4+,Y,Any,7,2013,0.02,13402.12435,670106.2175
64,TRAIN,Male,5A,4+,Y,Any,7,2013,0.02,13402.12435,670106.2175
67,TRAIN,Female,1B,3,N,Named,1,2013,0.04,26405.63666,660140.9165
69,TRAIN,Female,1B,3,N,Named,1,2013,0.04,26405.63666,660140.9165
71,TRAIN,Male,3B,3,N,Named,6,2014,0.06,38349.87519,639164.5865
72,TRAIN,Male,3B,3,N,Named,6,2014,0.06,38349.87519,639164.5865
73,TRAIN,Male,3B,3,N,Named,6,2014,0.06,38349.87519,639164.5865
74,TRAIN,Male,3B,3,N,Named,6,2014,0.06,38349.87519,639164.5865
75,TRAIN,Male,3B,3,N,Named,6,2014,0.06,38349.87519,639164.5865
76,TRAIN,Female,5B,1,N,Named,4,2013,0.04,25186.08463,629652.1158
78,TRAIN,Female,5B,1,N,Named,4,2013,0.04,25186.08463,629652.1158
79,TRAIN,Female,5B,1,N,Named,4,2013,0.04,25186.08463,629652.1158
80,TRAIN,Female,5B,1,N,Named,4,2013,0.04,25186.08463,629652.1158
81,TRAIN,Male,2B,0,N,Named,5,2014,0.03,18610.63345,620354.4483
83,TRAIN,Male,2B,0,N,Named,5,2014,0.03,18610.63345,620354.4483
84,TRAIN,Male,2B,0,N,Named,5,2014,0.03,18610.63345,620354.4483
85,TRAIN,Male,2B,0,N,Named,5,2014,0.03,18610.63345,620354.4483
86,TRAIN,Female,2A,1,N,Any,6,2014,0.03,17707.23352,590241.1173
87,TRAIN,Female,2A,1,N,Any,6,2014,0.03,17707.23352,590241.1173
88,TRAIN,Female,2A,1,N,Any,6,2014,0.03,17707.23352,590241.1173
89,TRAIN,Female,2A,1,N,Any,6,2014,0.03,17707.23352,590241.1173
90,TRAIN,Female,2A,1,N,Any,6,2014,0.03,17707.23352,590241.1173
91,TRAIN,Male,4A,4+,Y,Any,6,2014,0.02,11771.90534,588595.267
92,TRAIN,Male,4A,4+,Y,Any,6,2014,0.02,11771.90534,588595.267
94,TRAIN,Male,4A,4+,Y,Any,6,2014,0.02,11771.90534,588595.267
95,TRAIN,Male,4A,4+,Y,Any,6,2014,0.02,11771.90534,588595.267
97,TRAIN,Male,1B,4+,N,Named,0,2014,0.35,204887.697,585393.42
98,TRAIN,Male,1B,4+,N,Named,0,2014,0.35,204887.697,585393.42
99,TRAIN,Male,1B,4+,N,Named,0,2014,0.35,204887.697,585393.42
100,TRAIN,Male,1B,4+,N,Named,0,2014,0.35,204887.697,585393.42
101,TRAIN,Male,3B,4+,N,Any,7,2014,0.01,5694.604304,569460.4304
102,TRAIN,Male,3B,4+,N,Any,7,2014,0.01,5694.604304,569460.4304
103,TRAIN,Male,3B,4+,N,Any,7,2014,0.01,5694.604304,569460.4304
105,TRAIN,Male,3B,4+,N,Any,7,2014,0.01,5694.604304,569460.4304
106,TRAIN,Male,5B,0,N,Any,3,2014,0.01,5671.097707,567109.7707
108,TRAIN,Male,5B,0,N,Any,3,2014,0.01,5671.097707,567109.7707
109,TRAIN,Male,5B,0,N,Any,3,2014,0.01,5671.097707,567109.7707
110,TRAIN,Male,5B,0,N,Any,3,2014,0.01,5671.097707,567109.7707
111,TRAIN,Male,1B,4+,Y,Any,7,2013,0.04,22253.76919,556344.2298
112,TRAIN,Male,1B,4+,Y,Any,7,2013,0.04,22253.76919,556344.2298
114,TRAIN,Male,1B,4+,Y,Any,7,2013,0.04,22253.76919,556344.2298
115,TRAIN,Male,1B,4+,Y,Any,7,2013,0.04,22253.76919,556344.2298
