Factor,Category,Current,Indicated,Proposed
Gender,G.Female,1.00,1.00,1.00
Gender,G.Male,1.03,1.18,1.05
PRNCD,PRNCD.N,1.00,1.00,1.00
PRNCD,PRNCD.Y,0.85,0.83,0.83
RatingArea,RA.1A,1.00,1.00,1.00
RatingArea,RA.1B,1.30,1.50,1.33
RatingArea,RA.2A,1.60,1.53,1.53
RatingArea,RA.2B,1.10,1.36,1.14
RatingArea,RA.3A,1.48,1.51,1.51
RatingArea,RA.3B,1.20,1.60,1.27
RatingArea,RA.4A,1.50,1.49,1.49
RatingArea,RA.4B,1.80,1.57,1.57
RatingArea,RA.5A,1.65,1.75,1.75
RatingArea,RA.5B,2.00,2.22,2.22
RatingArea,RA.6A,0.80,0.76,0.76
NCD,NCD.0,1.00,1.00,1.00
NCD,NCD.1,0.95,0.90,0.90
NCD,NCD.2,0.92,0.81,0.81
NCD,NCD.3,0.85,0.72,0.72
NCD,NCD.4,0.75,0.65,0.65
NCD,NCD.Unk,0.60,0.69,0.69
DR,DR.Any,1.00,1.00,1.00
DR,DR.Named,0.75,0.90,0.77
VehicleAge,VA.0,1.00,1.00,1.00
VehicleAge,VA.1,0.85,0.92,0.92
VehicleAge,VA.2,0.80,0.85,0.85
VehicleAge,VA.3,0.78,0.78,0.78
VehicleAge,VA.4,0.72,0.72,0.72
VehicleAge,VA.5,0.68,0.66,0.66
VehicleAge,VA.6,0.65,0.61,0.61
VehicleAge,VA.7,0.60,0.56,0.56
VehicleAge,VA.8,0.55,0.51,0.51
VehicleAge,VA.9,0.50,0.47,0.47
VehicleAge,VA.10,0.48,0.43,0.43
VehicleAge,VA.11,0.42,0.40,0.40
VehicleAge,VA.12,0.36,0.37,0.37
VehicleAge,VA.13,0.33,0.34,0.34
VehicleAge,VA.14,0.25,0.31,0.31
VehicleAge,VA.15,0.20,0.29,0.29
