"names","x"
"1","(Intercept)",9665.61598689952
"2","GenderMale",984.831130106673
"3","RatingArea1B",1971.7485593425
"4","RatingArea2A",2138.07239817662
"5","RatingArea2B",1404.07338900519
"6","RatingArea3A",1897.54329321579
"7","RatingArea3B",2222.11996029041
"8","RatingArea4A",1759.98881063349
"9","RatingArea4B",1948.04005736545
"10","RatingArea5A",2777.83621237166
"11","RatingArea5B",4828.17463417575
"12","RatingArea6A",-1186.91794042118
"13","NCD1",-1523.28229794924
"14","NCD2",-2431.64245810439
"15","NCD3",-2726.8591409207
"16","NCD4+",-3226.6951915056
"17","NCDUnknown",-2655.10465676893
"18","ProtectedNCDY",-1023.02117845692
"19","DrivingRestrictionNamed",-651.526997230685
"20","as.factor(VehicleAge)1",-1665.71776047653
"21","as.factor(VehicleAge)2",-1783.27000542375
"22","as.factor(VehicleAge)3",-1720.01409268532
"23","as.factor(VehicleAge)4",-1895.21918699669
"24","as.factor(VehicleAge)5",-3058.51591902881
"25","as.factor(VehicleAge)6",-3508.32842794706
"26","as.factor(VehicleAge)7",-3243.97996684958
"27","as.factor(VehicleAge)8",-4157.24695091467
"28","as.factor(VehicleAge)9",-4843.50830670551
"29","as.factor(VehicleAge)10",-5017.01808617185
"30","as.factor(VehicleAge)11",-5773.24330178669
"31","as.factor(VehicleAge)12",-6320.33808970826
"32","as.factor(VehicleAge)13",-5570.30232751567
"33","as.factor(VehicleAge)14",-5944.39317530122
"34","as.factor(VehicleAge)15",-7893.65349105092
