Gender,RatingArea,NCD,ProtectedNCD,DrivingRestriction,VehicleAge,GenderCurrent,GenderProp,RatingAreaCurrent,RatingAreaProp,NCDCurr,NCDProp,PRNCDCurr,PRNCDProp,DRCurr,DRProp,VACurr,VAProp,CurrRels,PropRels,CurrPrem,PropPremium,,,
Female,4B,0,N,Named,5,,,,,,,,,,,,,0.000,0.000,,,,Current Base Rate,500.00
Female,1B,4+,Y,Named,0,,,,,,,,,,,,,0.000,0.000,,,,Proposed Base Rate,500.00
Male,5B,4+,N,Named,9,,,,,,,,,,,,,0.000,0.000,,,,,
Male,2A,4+,Y,Any,3,,,,,,,,,,,,,0.000,0.000,,,,,
Female,3A,1,N,Named,4,,,,,,,,,,,,,0.000,0.000,,,,,
Male,3A,4+,N,Named,6,,,,,,,,,,,,,0.000,0.000,,,,,
Female,3A,0,N,Named,4,,,,,,,,,,,,,0.000,0.000,,,,,
Male,5B,4+,Y,Named,11,,,,,,,,,,,,,0.000,0.000,,,,,
Female,1A,4+,Y,Named,3,,,,,,,,,,,,,0.000,0.000,,,,,
Male,5B,1,N,Any,10,,,,,,,,,,,,,0.000,0.000,,,,,
Male,3B,4+,Y,Named,3,,,,,,,,,,,,,0.000,0.000,,,,,
Female,3A,1,N,Any,1,,,,,,,,,,,,,0.000,0.000,,,,,
Male,2B,4+,Y,Any,11,,,,,,,,,,,,,0.000,0.000,,,,,
Male,1B,4+,N,Named,7,,,,,,,,,,,,,0.000,0.000,,,,,
Female,2B,2,N,Any,11,,,,,,,,,,,,,0.000,0.000,,,,,
Male,5A,2,N,Any,11,,,,,,,,,,,,,0.000,0.000,,,,,
Male,3A,4+,Y,Any,8,,,,,,,,,,,,,0.000,0.000,,,,,
Male,3B,4+,Y,Any,9,,,,,,,,,,,,,0.000,0.000,,,,,
Female,3A,2,N,Any,10,,,,,,,,,,,,,0.000,0.000,,,,,
Female,4B,0,N,Named,9,,,,,,,,,,,,,0.000,0.000,,,,,
Male,4B,4+,N,Any,8,,,,,,,,,,,,,0.000,0.000,,,,,
Female,3A,2,N,Any,9,,,,,,,,,,,,,0.000,0.000,,,,,
Female,4A,4+,Y,Named,2,,,,,,,,,,,,,0.000,0.000,,,,,
Female,3B,2,N,Any,8,,,,,,,,,,,,,0.000,0.000,,,,,
Female,1A,0,N,Named,5,,,,,,,,,,,,,0.000,0.000,,,,,
Female,3A,2,N,Any,4,,,,,,,,,,,,,0.000,0.000,,,,,
Male,3A,3,N,Any,7,,,,,,,,,,,,,0.000,0.000,,,,,
Male,2A,0,N,Named,8,,,,,,,,,,,,,0.000,0.000,,,,,
Female,1A,1,N,Named,8,,,,,,,,,,,,,0.000,0.000,,,,,
Male,5B,2,N,Named,7,,,,,,,,,,,,,0.000,0.000,,,,,
Female,2B,2,N,Named,8,,,,,,,,,,,,,0.000,0.000,,,,,
Male,2B,3,N,Any,6,,,,,,,,,,,,,0.000,0.000,,,,,
Female,6A,1,N,Named,8,,,,,,,,,,,,,0.000,0.000,,,,,
Male,2B,1,N,Named,8,,,,,,,,,,,,,0.000,0.000,,,,,
Female,3A,2,N,Named,2,,,,,,,,,,,,,0.000,0.000,,,,,
Female,1B,3,N,Named,8,,,,,,,,,,,,,0.000,0.000,,,,,
Male,3B,4+,N,Any,9,,,,,,,,,,,,,0.000,0.000,,,,,
Male,1A,3,N,Named,4,,,,,,,,,,,,,0.000,0.000,,,,,
Female,3A,2,N,Named,4,,,,,,,,,,,,,0.000,0.000,,,,,
Male,6A,1,N,Named,2,,,,,,,,,,,,,0.000,0.000,,,,,
Male,2A,4+,N,Any,3,,,,,,,,,,,,,0.000,0.000,,,,,
Male,1A,4+,Y,Any,6,,,,,,,,,,,,,0.000,0.000,,,,,
Female,2A,4+,N,Named,7,,,,,,,,,,,,,0.000,0.000,,,,,
Female,5A,4+,N,Named,5,,,,,,,,,,,,,0.000,0.000,,,,,
Male,3A,3,N,Named,2,,,,,,,,,,,,,0.000,0.000,,,,,
Female,5A,4+,N,Any,0,,,,,,,,,,,,,0.000,0.000,,,,,
Male,1A,4+,Y,Named,5,,,,,,,,,,,,,0.000,0.000,,,,,
Female,1A,2,N,Named,5,,,,,,,,,,,,,0.000,0.000,,,,,
Female,3B,0,N,Any,6,,,,,,,,,,,,,0.000,0.000,,,,,
Male,1A,3,N,Any,6,,,,,,,,,,,,,0.000,0.000,,,,,
