"names","x"
"1","(Intercept)",9.09412774277814
"2","GenderMale",0.158542519822362
"3","RatingArea1B",0.403240387805675
"4","RatingArea2A",0.429473589779151
"5","RatingArea2B",0.305445848742107
"6","RatingArea3A",0.411741200043512
"7","RatingArea3B",0.470076669857926
"8","RatingArea4A",0.396974657612487
"9","RatingArea4B",0.459767562336153
"10","RatingArea5A",0.56911993982479
"11","RatingArea5B",0.802028203913569
"12","RatingArea6A",-0.265430943452419
"13","NCD1",-0.187380407409218
"14","NCD2",-0.337032993347069
"15","NCD3",-0.384849064738905
"16","NCD4",-0.462063258203242
"17","NCDUnknown",-0.442089413231162
"18","ProtectedNCDY",-0.205568010030313
"19","DrivingRestrictionNamed",-0.109469968835319
"20","as.factor(VehicleAge)1",-0.251563542859662
"21","as.factor(VehicleAge)2",-0.256471362118849
"22","as.factor(VehicleAge)3",-0.254735660906483
"23","as.factor(VehicleAge)4",-0.294073544198436
"24","as.factor(VehicleAge)5",-0.459848771236811
"25","as.factor(VehicleAge)6",-0.546807824764128
"26","as.factor(VehicleAge)7",-0.485625456231278
"27","as.factor(VehicleAge)8",-0.671726194154248
"28","as.factor(VehicleAge)9",-0.857586149530856
"29","as.factor(VehicleAge)10",-0.919326707020375
"30","as.factor(VehicleAge)11",-1.19954149828138
"31","as.factor(VehicleAge)12",-1.31874442674247
"32","as.factor(VehicleAge)13",-1.06846486931689
"33","as.factor(VehicleAge)14",-1.03892794395926
"34","as.factor(VehicleAge)15",-2.14884037670466
