names,x
(Intercept),9665.61598689952
GenderMale,984.831130106673
RatingArea1B,1971.7485593425
RatingArea2A,2138.07239817662
RatingArea2B,1404.07338900519
RatingArea3A,1897.54329321579
RatingArea3B,2222.11996029041
RatingArea4A,1759.98881063349
RatingArea4B,1948.04005736545
RatingArea5A,2777.83621237166
RatingArea5B,4828.17463417575
RatingArea6A,-1186.91794042118
NCD1,-1523.28229794924
NCD2,-2431.64245810439
NCD3,-2726.8591409207
NCD4,-3226.6951915056
NCDUnknown,-2655.10465676893
ProtectedNCDY,-1023.02117845692
DrivingRestrictionNamed,-651.526997230685
VehicleAge1,-1665.71776047653
VehicleAge2,-1783.27000542375
VehicleAge3,-1720.01409268532
VehicleAge4,-1895.21918699669
VehicleAge5,-3058.51591902881
VehicleAge6,-3508.32842794706
VehicleAge7,-3243.97996684958
VehicleAge8,-4157.24695091467
VehicleAge9,-4843.50830670551
VehicleAge10,-5017.01808617185
VehicleAge11,-5773.24330178669
VehicleAge12,-6320.33808970826
VehicleAge13,-5570.30232751567
VehicleAge14,-5944.39317530122
VehicleAge15,-7893.65349105092
