"names","x"
"1","(Intercept)",9236.52961556675
"2","GenderMale",1030.08814817319
"3","RatingArea1B",1977.25651426365
"4","RatingArea2A",2148.82946054722
"5","RatingArea2B",1397.58938342223
"6","RatingArea3A",1889.70888670491
"7","RatingArea3B",2240.47859756533
"8","RatingArea4A",1763.74500266716
"9","RatingArea4B",1894.37518038035
"10","RatingArea5A",2781.2250957096
"11","RatingArea5B",4801.88106031052
"12","RatingArea6A",-1190.82956371171
"13","NCD",-719.858094934244
"14","ProtectedNCDY",-856.993512798706
"15","DrivingRestrictionNamed",-645.795068429811
"16","VehicleAge",-442.790968293509
